Iteration,PRNG8,PRNG16_1,PRNG16_2,PRNG16_3,PRNG16_4,PRNG16_5
1,163,41749,50023,60012,32001,70000
2,209,20874,25011,30006,16000,35000
3,233,10437,12505,15003,8000,17500
4,244,52218,56252,65018,4000,88000
5,122,26109,28126,32509,2000,44000
6,61,13054,14063,16254,1000,22000
7,158,6527,47830,8137,500,11000
8,79,32614,23915,40000,250,5500
9,167,16307,11957,20000,125,2750
10,211,40736,59778,50000,60000,1375
11,95,20368,29889,25000,30000,68000
12,190,10184,14944,12500,15000,34000
13,221,5092,7472,6250,7500,17000
14,238,2546,3736,3125,3750,8500
15,119,1273,1868,1562,1875,4250
